PULocationID,Zone,Borough,expected_net_earnings_per_hour,std_net_earnings_per_hour
93,Flushing Meadows-Corona Park,Queens,69.04098364741628,6.713944496077249
70,East Elmhurst,Queens,66.72139755627516,7.221374149551004
195,Red Hook,Brooklyn,66.36914507498128,7.531864474698073
138,LaGuardia Airport,Queens,66.17886467140106,6.537119461188436
263,Yorkville West,Manhattan,66.12617764292666,5.409338274865917
24,Bloomingdale,Manhattan,66.03815921929461,5.614013895839299
132,JFK Airport,Queens,65.91036069828583,7.350948631794393
236,Upper East Side North,Manhattan,65.85391892343848,5.434176460890438
239,Upper West Side South,Manhattan,65.8441487915459,6.4716270439935055
249,West Village,Manhattan,65.78170743808828,6.248688822163191
83,Elmhurst/Maspeth,Queens,65.76379954899866,7.683736348775902
262,Yorkville East,Manhattan,65.6835979609986,6.47202595231965
43,Central Park,Manhattan,65.64004449919749,5.493337625975975
90,Flatiron,Manhattan,65.60159447390357,6.415806425925683
79,East Village,Manhattan,65.57557326262861,5.885575937916479
164,Midtown South,Manhattan,65.55510208816902,6.237041954381238
107,Gramercy,Manhattan,65.4737464743843,5.1748017164041595
224,Stuy Town/Peter Cooper Village,Manhattan,65.45527999847917,5.608725937001321
230,Times Sq/Theatre District,Manhattan,65.4048490806815,6.3583827780964235
48,Clinton East,Manhattan,65.40328415657689,5.607924860182314
113,Greenwich Village North,Manhattan,65.39358200422006,6.543916955880743
170,Murray Hill,Manhattan,65.31173777002344,6.243252072302809
114,Greenwich Village South,Manhattan,65.3030788454866,6.422543981496096
143,Lincoln Square West,Manhattan,65.20250091996542,6.45478994543672
238,Upper West Side North,Manhattan,65.18744599189579,6.621389188610085
50,Clinton West,Manhattan,65.1802672649505,5.962093639902139
142,Lincoln Square East,Manhattan,65.14343419500906,5.858460163911825
237,Upper East Side South,Manhattan,65.13830972058832,5.639095977552804
163,Midtown North,Manhattan,64.945128436027,5.546558103991747
151,Manhattan Valley,Manhattan,64.93768143167024,5.163299855252536
260,Woodside,Queens,64.93711106464896,6.667894165503267
229,Sutton Place/Turtle Bay North,Manhattan,64.86138287031298,6.486784001011948
141,Lenox Hill West,Manhattan,64.78586252429525,6.069618920245954
100,Garment District,Manhattan,64.73832186712023,6.586805617411127
186,Penn Station/Madison Sq West,Manhattan,64.70365309204641,6.675206357701916
226,Sunnyside,Queens,64.6748656834649,6.446182706670639
146,Long Island City/Queens Plaza,Queens,64.60085857401202,7.047314761587791
140,Lenox Hill East,Manhattan,64.59238128444045,6.759913791767816
158,Meatpacking/West Village West,Manhattan,64.57479778423053,6.511973709568032
125,Hudson Sq,Manhattan,64.5648173275609,5.755139772702086
68,East Chelsea,Manhattan,64.51276457749977,5.505541211023811
157,Maspeth,Queens,64.50221778058545,6.903558889046549
233,UN/Turtle Bay South,Manhattan,64.45413094904978,6.218591338879634
13,Battery Park City,Manhattan,64.40628302736305,6.19371448881539
223,Steinway,Queens,64.31056353525273,7.286488473350132
211,SoHo,Manhattan,64.28059755881917,6.479627086408389
162,Midtown East,Manhattan,64.22848010695668,6.497987610647039
264,N/A,Unknown,64.15944842092942,6.272790710190396
144,Little Italy/NoLiTa,Manhattan,64.12705427674764,5.594941860538014
129,Jackson Heights,Queens,64.06306445440607,6.886060985482526
231,TriBeCa/Civic Center,Manhattan,63.90886935601875,5.911211462148935
87,Financial District North,Manhattan,63.88432178051886,7.164964472640935
209,Seaport,Manhattan,63.80868339368983,5.405856901904023
148,Lower East Side,Manhattan,63.74785462203443,5.824773110136517
116,Hamilton Heights,Manhattan,63.65929866574659,5.878603284636881
161,Midtown Center,Manhattan,63.590039875085395,5.6715584142723605
137,Kips Bay,Manhattan,63.573316936987865,6.742103160398924
152,Manhattanville,Manhattan,63.559736721836195,6.546236059448013
216,South Ozone Park,Queens,63.55569115403283,7.983893638925034
261,World Trade Center,Manhattan,63.54363168768409,6.077585021150464
7,Astoria,Queens,63.49255847536535,6.241825568872033
75,East Harlem South,Manhattan,63.484808921906115,6.00728980162695
41,Central Harlem,Manhattan,63.44869902777158,6.952697116563637
145,Long Island City/Hunters Point,Queens,63.431134058426885,8.086195251430187
234,Union Sq,Manhattan,63.3557721656765,6.776857911496997
179,Old Astoria,Queens,63.281114848428366,6.652358145978091
166,Morningside Heights,Manhattan,63.28020318498562,6.29130803238177
134,Kew Gardens,Queens,63.131212335872206,7.737074259365114
65,Downtown Brooklyn/MetroTech,Brooklyn,63.10834231450557,7.47301578952207
66,DUMBO/Vinegar Hill,Brooklyn,62.93647211670741,6.996973280303567
28,Briarwood/Jamaica Hills,Queens,62.58485006167836,6.532401838207557
52,Cobble Hill,Brooklyn,62.3242777774187,6.445829138161516
4,Alphabet City,Manhattan,62.30622885473442,6.6502427924924055
232,Two Bridges/Seward Park,Manhattan,62.304329793219765,6.847187841166081
246,West Chelsea/Hudson Yards,Manhattan,62.25630166096685,5.58027258693998
74,East Harlem North,Manhattan,62.245833684082854,6.536516453145039
10,Baisley Park,Queens,62.09042689837448,8.694088268914355
256,Williamsburg (South Side),Brooklyn,62.0893082091591,7.312775239556778
196,Rego Park,Queens,62.06116383786926,6.435904529157191
193,Queensbridge/Ravenswood,Queens,61.403122357124666,7.970295630742591
82,Elmhurst,Queens,61.37752671098211,7.024093141388379
197,Richmond Hill,Queens,61.347318483983535,8.173386966813984
182,Parkchester,Bronx,61.327379070334445,7.549732341603704
42,Central Harlem North,Manhattan,61.27422505401466,6.2934200093302195
56,Corona,Queens,61.23549213512855,7.613148881005786
119,Highbridge,Bronx,61.16889681403611,6.941569332489699
243,Washington Heights North,Manhattan,61.09490446263636,6.662167275620584
215,South Jamaica,Queens,60.834024958667754,6.941098654768753
212,Soundview/Bruckner,Bronx,60.7559620335857,6.51622413464815
51,Co-Op City,Bronx,60.71196822265667,6.910085374781655
265,Outside of NYC,N/A,60.26003600114771,7.473645177098797
136,Kingsbridge Heights,Bronx,60.227114567047245,7.0037277566794005
69,East Concourse/Concourse Village,Bronx,60.10447162142314,6.667633694552045
235,University Heights/Morris Heights,Bronx,60.01282843012696,6.3458649386106005
81,Eastchester,Bronx,59.97301810695441,6.102018070375576
167,Morrisania/Melrose,Bronx,59.946088724135535,7.229971421352536
219,Springfield Gardens South,Queens,59.867580758272986,8.926552981451207
126,Hunts Point,Bronx,59.82123673080822,7.238458729931164
49,Clinton Hill,Brooklyn,59.72140053390613,7.809714107108064
80,East Williamsburg,Brooklyn,59.56981075738972,8.02779713460934
254,Williamsbridge/Olinville,Bronx,59.42265243272472,7.495120835604015
189,Prospect Heights,Brooklyn,59.41505244768082,7.845166582667353
241,Van Cortlandt Village,Bronx,59.35057896240232,6.943710964438413
169,Mount Hope,Bronx,59.29188864748741,8.151272993258477
78,East Tremont,Bronx,59.22960367998365,7.770889810979043
18,Bedford Park,Bronx,59.19283710292415,7.595862070043575
213,Soundview/Castle Hill,Bronx,59.14625097732553,7.7715853350621
133,Kensington,Brooklyn,59.14075279499653,8.361566770430516
168,Mott Haven/Port Morris,Bronx,59.071674935981825,8.424484225499144
17,Bedford,Brooklyn,58.92884964902458,8.58258842576458
244,Washington Heights South,Manhattan,58.90118489995419,7.0502208996905695
47,Claremont/Bathgate,Bronx,58.79017734864347,8.569638047457026
159,Melrose South,Bronx,58.63711817216135,7.465517146576774
255,Williamsburg (North Side),Brooklyn,58.553744547601035,7.085770625591327
130,Jamaica,Queens,58.46624658643459,8.046979109981917
32,Bronxdale,Bronx,58.46179329093246,7.732048999900737
258,Woodhaven,Queens,58.43570740235343,7.600192929651976
88,Financial District South,Manhattan,58.32919640702523,5.754564683360186
131,Jamaica Estates,Queens,58.13373572264659,7.866903663675357
127,Inwood,Manhattan,58.0949460543824,5.917672629816862
33,Brooklyn Heights,Brooklyn,58.04947391468146,7.002299551117175
217,South Williamsburg,Brooklyn,57.88153823060667,7.365400978656023
106,Gowanus,Brooklyn,57.756449971513156,7.793498896974752
61,Crown Heights North,Brooklyn,57.72405208974772,7.458273523108029
12,Battery Park,Manhattan,57.69316025978811,6.124524028327146
174,Norwood,Bronx,57.63653392885262,7.351430866412167
45,Chinatown,Manhattan,57.63032255773289,6.8130904012862805
202,Roosevelt Island,Manhattan,57.61403585305241,9.223998913799406
218,Springfield Gardens North,Queens,57.595584521661,8.774960108288134
191,Queens Village,Queens,57.57746898766829,7.281464200981702
198,Ridgewood,Queens,57.49881553222568,7.598349141733761
108,Gravesend,Brooklyn,57.44080962340686,8.513170188753259
29,Brighton Beach,Brooklyn,57.303449672266176,7.803430429605055
55,Coney Island,Brooklyn,57.291717434801186,7.743962028583818
22,Bensonhurst West,Brooklyn,57.25600455271995,8.360883728223651
124,Howard Beach,Queens,57.20822666478709,8.305692700587064
121,Hillcrest/Pomonok,Queens,57.18158039596952,7.8939021112503465
225,Stuyvesant Heights,Brooklyn,57.12980542789582,8.477586200384845
